Country ,Year,Area,Sex,Citizenship status (citizen or foreigner),Status at time of departure,Record Type,Reliability,Source Year,Value
Botswana,2017,Total,Both Sexes,Foreigner/Non-citizen,Total,Migration flows: Border statistics,"Final figure, complete",2019,2308137
Democratic Republic of the Congo,2017,Total,Both Sexes,Total population,Total,Migration flows: Administrative register,"Final figure, complete",2021,729865
Guinea,2014,Total,Both Sexes,Total population,Total,Migration flows: Household-based field enquiries,"Final figure, complete",2017,149120
Kenya,2017,Total,Both Sexes,Foreigner/Non-citizen,Total,Migration flows: Border statistics,"Final figure, complete",2018,1396600
Kenya,2017,Total,Both Sexes,Foreigner/Non-citizen,"Other, specify",Migration flows: Border statistics,"Final figure, complete",2018,161100
Kenya,2017,Total,Both Sexes,Foreigner/Non-citizen,Persons in transit,Migration flows: Border statistics,"Final figure, complete",2018,98500
Kenya,2017,Total,Both Sexes,Foreigner/Non-citizen,Visitors,Migration flows: Border statistics,"Final figure, complete",2018,1137000
Kenya,2017,Total,Both Sexes,Foreigner/Non-citizen,Tourists and excursionists,Migration flows: Border statistics,"Final figure, complete",2018,927600
Kenya,2017,Total,Both Sexes,Foreigner/Non-citizen,Business travelers,Migration flows: Border statistics,"Final figure, complete",2018,209400
Kenya,2010,Total,Both Sexes,Foreigner/Non-citizen,Total,Migration flows: Border statistics,"Final figure, complete",2011,1502353
Kenya,2010,Total,Both Sexes,Foreigner/Non-citizen,Persons in transit,Migration flows: Border statistics,"Final figure, complete",2011,102175
Kenya,2010,Total,Both Sexes,Foreigner/Non-citizen,Visitors,Migration flows: Border statistics,"Final figure, complete",2011,1400178
Kenya,2010,Total,Both Sexes,Foreigner/Non-citizen,Tourists and excursionists,Migration flows: Border statistics,"Final figure, complete",2011,1085114
Kenya,2010,Total,Both Sexes,Foreigner/Non-citizen,Business travelers,Migration flows: Border statistics,"Final figure, complete",2011,173144
Kenya,2010,Total,Both Sexes,Foreigner/Non-citizen,Other reason for visiting,Migration flows: Border statistics,"Final figure, complete",2011,141920
Republic of South Sudan,2014,Total,Both Sexes,Total population,Total,Migration flows: Border statistics,"Final figure, complete",2015,205618
Republic of South Sudan,2014,Total,Both Sexes,Total population,"Other, specify",Migration flows: Border statistics,"Final figure, complete",2015,7368
Republic of South Sudan,2014,Total,Both Sexes,Total population,Persons in transit,Migration flows: Border statistics,"Final figure, complete",2015,118
Republic of South Sudan,2014,Total,Both Sexes,Total population,Visitors,Migration flows: Border statistics,"Final figure, complete",2015,141292
Republic of South Sudan,2014,Total,Both Sexes,Total population,Tourists and excursionists,Migration flows: Border statistics,"Final figure, complete",2015,244
Republic of South Sudan,2014,Total,Both Sexes,Total population,Business travelers,Migration flows: Border statistics,"Final figure, complete",2015,22656
Republic of South Sudan,2014,Total,Both Sexes,Total population,Other reason for visiting,Migration flows: Border statistics,"Final figure, complete",2015,118392
